Year,Game #,Date,Opponent,Score BG,Score Font,Rank BG,Rank Font
2019,g2,9/28/19,Rutgers,,,,
2019,g3,10/5/19,Iowa,,,,
2019,g4,10/12/19,at Illinois,,,,
2019,g5,10/19/19,at Penn State,,,,
2019,NC3,10/26/19,Notre Dame,,,,
2019,g6,11/2/19,at Maryland,,,,
2019,g7,11/16/19,Michigan State,,,,
2019,g8,11/23/19,at Indiana,,,,
2019,g9,11/30/19,Ohio State,,,,
2019,Citrus Bowl,1/1/20,vs. Alabama,,,,
2020,g1,10/24/20,at Minnesota,,,,
2020,g2,10/31/20,Michigan State,,,,
2020,g3,11/7/20,at Indiana,,,,
2020,g4,11/14/20,Wisconsin,,,,
2020,g5,11/21/20,at Rutgers,,,,
2020,g6,11/28/20,Penn State,,,,
2021,nc1,9/4/21,Western Michigan,,,,
2021,NC2,9/11/21,Washington,,,,
2021,nc3,9/18/21,Northern Illinois,,,,
2021,g1,9/25/21,Rutgers,,,,
2021,g2,10/2/21,at Wisconsin,,,,
2021,g3,10/9/21,at Nebraska,,,,
2021,g4,10/23/21,Northwestern,,,,
2021,g5,10/30/21,at Michigan State,,,,
2021,g6,11/6/21,Indiana,,,,
2021,g7,11/13/21,at Penn State,,,,
2021,g8,11/20/21,at Maryland,,,,
2021,g9,11/27/21,Ohio State,,,,
2021,B1G Championship,12/4/21,vs. Iowa,,,,
2021,CFP Semis,12/31/21,vs. Georgia,,,,
2022,nc1,9/3/22,Colorado State,,,,
2022,nc2,9/10/22,Hawai'i,,,,
2022,nc3,9/17/22,Connecticut,,,,
2022,g1,9/24/22,Maryland,,,,
2022,g2,10/1/22,at Iowa,,,,
2022,g3,10/8/22,at Indiana,,,,
2022,g4,10/15/22,Penn State,,,,
2022,g5,10/29/22,Michigan State,,,,
2022,g6,11/5/22,at Rutgers,,,,
2022,g7,11/12/22,Nebraska,,,,
2022,g8,11/19/22,Illinois,,,,
2022,g9,11/26/22,at Ohio State,,,,
2022,B1G Championship,12/3/22,vs. Purdue,,,,
2022,CFP Semis,12/31/22,vs. Texas Christian,,,,
2023,nc1,9/2/23,East Carolina,blue,maize,maize,blue
2023,nc2,9/9/23,Unlv,blue,white,maize,white
2023,nc3,9/16/23,Bowling Green,blue,blue,blue,blue
2023,g1,9/23/23,Rutgers,blue,maize,maize,maize
2023,g2,9/30/23,at Nebraska,white,maize,maize,white
